"排名","代號","名稱","成交","漲跌價","漲跌幅","EPS平均","EPS合計","股利平均","股利合計","平均分配率","2012分配率","2013分配率","2014分配率","2015分配率","2016分配率","2017分配率","2018分配率","2019分配率","2020分配率","2021分配率","2022分配率","2023分配率"
"225",="6486","互動","78.2","+1.2","+1.56","5.05","45.43","4.67","42","92","","","","83","83.6","94.6","88.6","102","92.2","94.8","94.6","94.5"
"226",="4549","桓達","106","+0.5","+0.47","5.24","57.64","4.12","45.29","78.8","","74.9","68.4","70.4","85.7","80.5","82.6","84.1","78.3","81.7","82.9","77.4"
"227",="8436","大江","177.5","+2.5","+1.43","8.73","104.7","5.12","61.43","62.5","69.1","72.4","69.5","64.9","65.5","51","50.8","47.5","52.2","56.4","67.7","82.9"
"228",="2753","八方雲集","175","+4","+2.34","9.15","36.58","6.3","31.5","80.7","","","","","","","","66","","85.4","74.5","97"
"229",="5403","中菲","99.5","-0.2","-0.2","3.58","42.94","2.85","34.22","79.4","50.8","78.9","76.9","49","112","92.3","91.2","97.4","78.3","76.9","76.6","72.9"
"230",="6269","台郡","92.5","+0.4","+0.43","9.03","108.4","4.25","50.97","46.9","33.6","27.1","36.3","37.1","46.1","58.8","49.8","58.4","49.6","59.3","61.1","46.2"
"231",="1723","中碳","109.5","0","0","6.62","79.45","5.64","67.7","86.2","82","86.6","86.5","87.4","83.8","101","92","81.5","89.8","90.6","84.6","68.2"
"232",="2114","鑫永銓","104","0","0","6.73","80.72","5.29","63.5","81.8","66","66.8","84.4","68.1","80.6","96.3","99.6","94","88.8","81.2","56.4","99.4"
"233",="2211","長榮鋼","63","0","0","3.6","14.42","3.02","12.09","84.4","","","","","","","","","82","78.9","96.5","80.4"
"234",="2348","海悅","70.6","+0.2","+0.28","0.83","10.01","2.77","33.23","40.4","0","0","0","12.1","0","0","169","70.5","65.7","53","51.3","63.5"
"235",="2540","愛山林","85.5","-0.5","-0.58","2.08","25.01","1.42","17","39.5","0","0","0","0","0","0","0","0","0","32.4","142","299"
