"排名","代號","名稱","成交","漲跌價","漲跌幅","平均業外損益(億)","2011業外損益(億)","2012業外損益(億)","2013業外損益(億)","2014業外損益(億)","2015業外損益(億)","2016業外損益(億)","2017業外損益(億)","2018業外損益(億)","2019業外損益(億)","2020業外損益(億)","2021業外損益(億)","2022業外損益(億)","23Q1業外損益(億)"
"650",="8482","商億-KY","70","-1.2","-1.69","0.55","","","","","-0.63","1.12","-0.07","0.57","1.01","0.13","1.4","0.86","-0.47"
"651",="6641","基士德-KY","49.25","-0.35","-0.71","0.34","","","","","0.07","0.25","0.13","0.17","0.42","0.29","0.53","0.86","0.07"
"652",="8450","霹靂","27.8","+0.65","+2.39","0.28","0.61","0.46","0.21","0.25","0.28","0.58","-0.46","0.55","0.15","-0.05","-0.03","0.86","0"
"653",="1737","臺鹽","34.7","-0.2","-0.57","0.31","0.03","0.35","0.41","0.81","0.1","0.05","0.08","1.13","0.09","0.01","-0.19","0.86","0.05"
"654",="5285","界霖","79.1","-1.5","-1.86","0.02","-0.03","0.17","0.04","0.22","0.17","0.17","-0.4","0.01","-0.24","-0.6","-0.15","0.85","-0.01"
"655",="6201","亞弘電","45.5","+0.15","+0.33","0.43","0.25","0.05","0.29","0.42","0.77","0.53","0.62","1.56","0.23","-0.19","-0.18","0.85","-0.03"
"656",="9940","信義","28.4","-0.05","-0.18","2.03","2.07","1.86","3.21","2.13","2.77","5.5","1.66","1.75","0.85","0.72","0.97","0.85","0.7"
"657",="5015","華祺","42.7","-1.3","-2.95","0.05","0.06","-0.07","-0.01","0.45","0.13","-0.05","-0.37","0.18","-0.07","-0.28","-0.27","0.84","-0.06"
"658",="5465","富驊","54.4","-1.1","-1.98","0.3","0.52","0.22","0.25","0.22","0.55","0.2","-0.26","0.14","0.75","-0.02","0.21","0.84","0.03"
"659",="3438","類比科","70.6","-0.7","-0.98","0.11","","-0.22","0.26","0.19","-0.14","0.39","-0.2","0.33","0.03","-0.12","-0.14","0.84","-0.01"
"660",="2707","晶華","260.5","-5","-1.88","2.7","0.18","1.3","1.23","0.5","-0.32","-0.9","0.41","5.41","3.68","1.47","18.6","0.83","-0.06"
"661",="6762","達亞","273","-12.5","-4.38","0.07","","","","","","","-0.04","0.02","-0.03","-0.16","-0.18","0.83","-0.05"
"662",="3537","堡達","39.3","-0.2","-0.51","-0.01","0.17","-0.26","0.12","0.26","0.14","-0.24","-0.37","0.11","-0.21","-0.42","-0.28","0.83","-0.05"
"663",="9951","皇田","74.5","-0.7","-0.93","0.16","-0.57","0.01","0.42","0.72","0.2","-0.26","-0.35","0.29","0.1","0.65","-0.14","0.83","0.18"
"664",="1463","強盛","14.7","0","0","0.8","0.74","0.4","0.92","0.38","0.64","0.95","0.96","1","1.22","0.59","1","0.82","0.55"
"665",="2924","宏太-KY","28","-0.9","-3.11","0.15","0.02","0.05","0.23","0.17","0.15","-0.03","-0.34","-0.15","0.04","-0.55","1.41","0.82","-0.07"
"666",="8933","愛地雅","11.25","-0.05","-0.44","-0.21","0.04","0.18","0.76","0.95","0.57","-0.23","-0.16","-5.49","-0.04","0.16","-0.08","0.82","0.09"
"667",="1109","信大","18.15","-0.1","-0.55","0.19","0.78","-0.01","0.48","-0.07","-0.47","-0.87","0.43","0.04","0.22","0.16","0.81","0.82","0.31"
"668",="3149","正達","13.1","-0.2","-1.5","-0.65","0.42","-0.09","-0.04","-6.54","-22.9","10.9","5.21","0.64","1.54","1.46","0.78","0.82","0.38"
"669",="3520","華盈","18.15","-0.2","-1.09","0.01","-0.3","-0.16","-0.06","0.01","0.1","-0.29","-0.07","0.09","0.03","0","-0.03","0.81","-0.01"
"670",="2423","固緯","37.05","-1.1","-2.88","0.68","1.39","0.59","0.79","0.67","0.62","0.63","0.9","0.71","0.59","0.25","0.25","0.81","0.03"
"671",="6216","居易","28.7","-0.55","-1.88","0.11","0.26","-0.08","0.19","0.16","0.28","0.1","-0.35","0.29","0.01","-0.2","-0.2","0.81","0.08"
"672",="4541","晟田","40.7","-0.95","-2.28","0.1","","-0.28","-0.19","0.06","0.17","-0.21","-0.21","0.41","-0.11","0.37","0.26","0.81","-0.08"
"673",="1618","合機","21.3","-0.65","-2.96","0.48","1.96","0.4","-0.11","0.7","0.22","0.23","0.28","0.08","0.22","0.54","0.4","0.81","-0.21"
"674",="6205","詮欣","69.6","-1.2","-1.69","0.52","0.3","0.22","0.56","1.2","1.23","0.94","-0.12","0.37","0.56","0.05","0.09","0.8","0"
"675",="3354","律勝","14.7","-0.15","-1.01","0.19","0.18","0.03","0.15","0.33","0.21","0.2","-0.24","0.48","0.07","-0.18","0.22","0.8","0.09"
"676",="4908","前鼎","46.35","+0.55","+1.2","0.11","","-0.01","0.18","0.2","0.16","0.04","-0.23","0.26","0.05","-0.19","-0.1","0.8","0.04"
"677",="6494","九齊","59.4","-2.1","-3.41","0.09","","","0.07","0.09","0.06","-0.01","-0.08","0.12","-0.02","-0.1","-0.05","0.8","-0.05"
"678",="6591","動力-KY","48.95","-0.9","-1.81","0.03","","","","-0.23","0.05","0.14","-0.27","0.24","0.02","-0.37","-0.07","0.79","-0.01"
"679",="1599","宏佳騰","37.9","+0.1","+0.26","0.42","0.03","0.07","0.51","0.31","0.47","0.74","0.07","0.52","0.58","0.64","0.31","0.79","0.08"
"680",="8083","瑞穎","151.5","0","0","0.06","","0.01","0.08","0.29","0.24","0.03","-0.32","0.18","-0.06","-0.3","-0.26","0.79","-0.06"
"681",="3516","亞帝歐","17.95","-0.05","-0.28","0.13","-0.8","-1.39","0.56","0.03","1.12","-0.86","0.41","0.44","0.55","0.31","0.45","0.79","0.18"
"682",="4968","立積","181","-5","-2.69","-0.01","","-0.1","0.05","0.15","0.08","-0.12","-1.09","0.13","0.01","0.09","-0.07","0.78","0"
"683",="6215","和椿","28.35","-0.1","-0.35","0.26","-0.12","-0.04","0.21","0.23","0.14","0.23","-0.16","-0.09","0.19","0.35","1.33","0.78","0.21"
"684",="4563","百德","61","-1.1","-1.77","-0.3","","","","-0.43","0.13","-0.61","0.13","0.15","-0.31","-2.07","-0.51","0.78","-0.06"
"685",="3504","揚明光","78","-1.2","-1.52","0.47","0.74","0.53","0.68","0.79","0.76","0.21","0.02","0.77","0.13","0.03","0.25","0.78","-0.11"
"686",="3546","宇峻","88.8","-0.8","-0.89","0.17","0.18","-0.07","0.09","0.19","0.07","0.2","0.02","0.29","0.22","0.11","0","0.78","0.02"
"687",="3465","進泰電子","85.5","-0.8","-0.93","0.08","0.06","0.2","-0.02","0.01","0.13","0.31","-0.01","-0.02","-0.18","-0.01","-0.26","0.77","-0.02"
"688",="9942","茂順","148","-3.5","-2.31","0.4","0.59","0.07","0.96","0.53","0.28","0.29","0.32","0.37","0.17","0.58","-0.18","0.77","-0.02"
"689",="9926","新海","55.5","+0.3","+0.54","0.51","0.29","0.24","0.44","0.15","0.47","0.35","0.69","0.54","0.62","0.71","0.79","0.77","0.13"
"690",="3306","鼎天","38","+0.3","+0.8","0.52","1.25","0.35","0.45","0.48","0.49","0.3","0.28","0.45","0.45","0.44","0.57","0.77","0.01"
"691",="1256","鮮活果汁-KY","320","0","0","0.16","0.37","0.02","0.14","0.06","-0.11","-0.15","-0.02","0.21","0.11","0.29","0.26","0.77","0.07"
"692",="2017","官田鋼","17.35","-0.1","-0.57","0.33","0.15","-0.11","0.16","-0.11","0.21","-0.14","0.43","0.22","0.35","0.98","1.01","0.76","0.32"
"693",="2610","華航","26.25","+0.1","+0.38","-19.6","-10.9","1.08","-10.9","-21.6","-9.94","-26.8","-53","-9.41","-27.6","-28.4","-38.4","0.76","-0.97"
"694",="8240","華宏","32.9","-0.05","-0.15","0.03","0.71","-0.87","0.35","-0.72","-0.76","-5.22","0.59","1.35","0.08","0.67","3.44","0.76","0.13"
"695",="3147","大綜","75.2","-1.4","-1.83","0.06","","-0.01","-0.12","-0.03","0.1","0.02","0.01","0.13","-0.08","0.11","-0.21","0.75","-0.01"
"696",="6643","M31","945","-16","-1.66","0","","","","","","-0.01","-0.29","0.23","-0.08","-0.42","-0.19","0.75","0.43"
"697",="2466","冠西電","37.7","-0.05","-0.13","0.6","0.39","0.56","0.07","-0.31","-0.19","0.23","1.2","0.91","2","0.92","0.66","0.74","-0.17"
"698",="8049","晶采","41.05","-0.75","-1.79","0.21","-0.01","-0.02","0.55","0.47","0.04","-0.04","0.07","0.36","-0.03","0","0.42","0.74","-0.01"
"699",="1580","新麥","120.5","-1.5","-1.23","0.14","0.25","-0.05","0.11","0.15","0.06","0.13","-0.38","0.32","0.25","0.04","0.1","0.74","-0.09"
"700",="4305","世坤","32.25","-0.2","-0.62","0.06","","0.01","0.07","0.07","0.15","0.02","-0.26","0.22","0.01","-0.19","-0.15","0.74","0.02"
"701",="4155","訊映","35","-2.2","-5.91","0.34","","-0.03","0.15","0.41","0.31","0.25","0.33","0.64","0.32","0.26","0.38","0.74","-0.02"
"702",="5439","高技","90.5","+4.7","+5.48","0.11","","-0.12","0.11","0.32","0.03","0.1","-0.11","0.37","-0.02","-0.21","0.04","0.74","-0.08"
"703",="6208","日揚","52.9","-0.6","-1.12","0.28","0.04","-0.11","0.15","0.21","0.21","0.33","-0.14","0.27","0.4","1","0.24","0.74","-0.09"
"704",="9958","世紀鋼","144","+7.5","+5.49","0.45","-0.4","-0.51","-0.55","-0.5","-0.4","-0.53","0.24","-0.27","6.46","-0.46","1.63","0.73","-0.78"
"705",="6416","瑞祺電通","96.6","-2","-2.03","0.28","","0.17","0.29","0.44","0.6","0.3","0.09","0.33","-0.04","0.03","0.17","0.73","0.01"
"706",="2250","IKKA-KY","70.3","+0.4","+0.57","0.2","","","","","","","","-0.2","-0.09","0.09","0.48","0.73","0.08"
"707",="2471","資通","56","-1.5","-2.61","0.23","0.23","0.06","0.1","0.21","0.19","0.53","-0.04","0.2","0.12","0.31","0.15","0.73","0.07"
"708",="4722","國精化","34.9","-0.1","-0.29","0.26","0.13","0.6","0.31","0.27","0.08","0.02","0.06","0.47","0.05","0.27","0.15","0.73","0.04"
