"排名","代號","名稱","成交","漲跌價","漲跌幅","平均EPS(元)","20Q3EPS(元)","20Q4EPS(元)","21Q1EPS(元)","21Q2EPS(元)","21Q3EPS(元)","21Q4EPS(元)","22Q1EPS(元)","22Q2EPS(元)","22Q3EPS(元)","22Q4EPS(元)","23Q1EPS(元)","23Q2EPS(元)"
"1496",="1446","宏和","36.75","+0.45","+1.24","-0.03","0.15","0.07","0.15","-0.08","-0.18","-0.02","-0.02","-0.04","-0.04","-0.17","-0.09","-0.05"
"1497",="8084","巨虹","89.2","-0.4","-0.45","-0.09","0.11","-0.75","-0.06","-0.09","-0.38","-0.3","0.76","-0.18","-0.52","0.76","-0.76","0.3"
"1498",="8086","宏捷科","89.9","+1","+1.12","0.44","0.98","0.87","0.89","1.01","1.31","1.09","0.24","0.13","0.07","-0.38","-1","0.01"
"1499",="6425","易發","20.9","0","0","-0.35","-0.54","-0.56","-1.83","-0.16","-0.59","0.06","0.63","-0.51","0.05","0.93","-1.11","-0.59"
"1500",="6441","廣錠","54.4","+1.6","+3.03","-0.47","-0.71","-0.64","-1.05","-1.08","-1.53","0.67","-0.11","-0.19","0.44","-0.13","-0.46","-0.84"
"1501",="8087","華鎂鑫","54.7","+0.2","+0.37","0.02","0.09","0","0.01","-0.15","-0.32","-0.38","1.58","-0.22","-0.6","0.53","0.16","-0.42"
"1502",="1304","台聚","20.85","-0.4","-1.88","0.67","0.56","1.21","1.16","1.22","0.98","1.48","0.5","0.33","0.16","0.46","-0.09","0.02"
"1503",="4807","日成-KY","18.1","-0.05","-0.28","0.3","0.85","0.33","0.34","0.63","1.24","1.11","-0.12","-0.28","1.61","-0.37","-2.09",""
"1504",="6225","天瀚","9.61","-0.08","-0.83","-0.02","-0.01","-0.01","-0.01","-0.04","-0.03","0.02","-0.02","-0.05","-0.03","0","-0.03","0.02"
"1505",="6179","亞通","29.65","-0.25","-0.84","0.27","0.92","0.89","0.51","0.28","1.05","0.09","0.07","0.11","0.11","-1.19","0.09","0.28"
"1506",="5263","智崴","115.5","+0.5","+0.43","-0.46","-0.24","-0.29","-0.55","-0.57","-0.58","-0.63","-0.2","-0.7","1.47","-1.56","-0.15","-1.55"
"1507",="4420","光明","30.15","0","0","0.12","0.05","0.4","0.71","0.66","0.4","0.28","0.47","-0.46","-0.1","-0.02","-0.24","-0.67"
"1508",="4109","加捷生醫","13.55","0","0","-0.04","0.07","-0.14","-0.03","0","0.01","0.09","-0.02","-0.02","0.02","-0.05","-0.26","-0.14"
