"排名","代號","名稱","成交","財報季度","現金(%)","應收帳款(%)","存貨(%)","速動資產(%)","流動資產(%)","投資(%)","固定資產(%)","無形資產(%)","其他資產(%)","流動負債(%)","長期負債(%)","其他負債(%)","負債總額(%)","股東權益(%)","每股淨值(元)","財報評分"
"1584",="6465","威潤","18.9","23Q2","5.96","6.7","26.2","23","53.7","0.72","41","0.22","0.88","22","34.6","","56.9","43.1","6.97","32"
"1585",="5386","青雲","55.4","23Q2","23.1","29.9","35.6","53","97.9","0.01","0.16","","1","38.1","","0.01","38.2","61.8","17.71","43"
"1586",="6680","鑫創電子","87.5","23Q2","45.9","5.02","25.8","53","82.4","","12.7","1.41","0.48","34.6","4.72","0","40.9","59.1","22.16","57"
"1587",="3349","寶德","17.8","23Q2","26.9","20.1","6.68","47","62","4.75","3.23","1.56","5.54","23.5","","1.25","42.9","57.1","9.65","32"
"1588",="8072","陞泰","25.75","23Q2","20","9.62","5.43","59.3","65.5","4.83","27.4","","1.24","9.65","","0.17","11","89","27.62","57"
"1589",="4198","欣大健康","23.8","23Q2","18.9","8.35","21.6","27.2","56.5","4.1","25.7","9.18","3.13","21.6","35.1","","56.8","43.2","5.39","34"
"1590",="5276","達輝-KY","16.1","23Q1","18","22.7","21.1","40.8","63.6","17.7","16.2","","0.31","31.9","","","33.4","66.6","14.23","34"
"1591",="8291","尚茂","5.65","23Q2","22.2","3.32","10.1","25.6","36.2","","58.6","","0.42","62.3","13","0.37","78.5","21.5","1.62","25"
"1592",="6514","芮特-KY","50.2","23Q2","64.6","11.4","6.34","83.3","90.1","","8.72","0.02","0.13","28.2","","","31.3","68.7","20.38","61"
"1593",="6846","綠茵","83","23Q2","54.1","11.8","14.6","65.9","83.8","0.1","7.72","0.22","2.98","23.1","","0.21","27.7","72.3","27.23","68"
"1594",="4153","鈺緯","36.95","23Q2","40.7","17.7","18.9","58.4","77.8","0.39","17.9","0.09","0.28","21.7","","0.09","21.8","78.2","16.92","55"
"1595",="6527","明達醫","88.5","23Q2","18.5","16.2","26.1","34.7","62.6","0.34","33.4","0.17","0.8","23.9","","","26.1","73.9","32.99","64"
"1596",="3122","笙泉","24.35","23Q2","19.4","6.2","15.7","56","74.3","1.36","21","2.91","0.09","10.2","26.8","0.48","37.5","62.5","11.6","45"
"1597",="3064","泰偉","14.2","23Q2","13.3","6.3","0.62","28.8","33.2","4.46","55.9","2.24","1.54","24.8","45.6","0","71.5","28.5","2.29","43"
"1598",="8093","保銳","17.35","23Q2","12.3","10","19.7","22.4","44.6","9.18","31","0.23","0.56","41.7","","0","45.5","54.5","7.17","38"
"1599",="4402","福大","9.88","23Q2","4.14","2.47","6.43","49.8","57.4","","33.5","","0.52","44.1","1.57","","50.5","49.5","5.74","27"
"1600",="4168","醣聯","28.3","23Q2","19.8","0.25","","48.9","50.1","0.86","49","","0.06","2.79","12.7","0.47","15.9","84.1","12.9","48"
"1601",="4305","世坤","31.25","23Q2","19.8","11.4","6.82","72.3","79.2","","20.4","","0.11","19.2","","0.84","20","80","19.13","64"
"1602",="1410","南染","37.55","23Q2","36.3","2.14","2.51","43.8","47","38","14.8","","0.09","6.64","","1.87","19.1","80.9","16.94","55"
"1603",="8040","九暘","42.45","23Q2","30.5","1.85","20.1","46.5","67","","28.8","4.13","0","23.1","","1.49","25","75","11.42","41"
"1604",="6574","霈方","56","23Q2","26.2","3.69","4.97","72.5","80.2","3.13","4.46","0.73","1.5","22.1","","0.62","29","71","28.52","68"
"1605",="5340","建榮","67","23Q2","7.31","12.9","22.2","20.2","43.3","","55.3","","0.09","11.4","","0.27","11.8","88.2","9.85","39"
"1606",="4183","福永生技","20.05","23Q2","35.3","18","14.7","53.2","68.2","","12.4","0.51","0.46","26.1","2.6","","46.9","53.1","12.25","45"
"1607",="7402","邑錡","80.5","23Q2","47.6","19.4","18","73.5","94.9","0","0.75","0.22","0.38","28.7","0","","30","70","18.76","55"
"1608",="8176","智捷","11.2","23Q2","23","7.15","32.4","30.1","65.9","4.49","17.2","0.08","0.12","31","","1.78","34.5","65.5","6.76","40"
"1609",="2032","新鋼","16.5","23Q2","14.3","30.3","15.2","44.6","60.3","10.4","27.9","0.01","0.03","5.2","","0.6","13.1","86.9","12.7","36"
"1610",="4711","永純","15.15","23Q2","29.9","9.8","18.8","47.3","67.1","","26.5","0","1.45","12.9","","0.75","19.3","80.7","17.22","52"
"1611",="2719","燦星旅","66.9","23Q2","56.2","2.59","0.01","58.8","73.8","8.79","16","0","1.26","21.8","11.3","0.04","33.1","66.9","7.35","45"
"1612",="6791","虎門科技","89.2","23Q2","59.9","15.5","1.24","75.3","77.6","4.48","13.3","0.3","2.5","36","0","0.24","37.3","62.7","20.11","68"
"1613",="8921","沈氏","13.9","23Q2","15.7","9.73","4.34","25.4","30.7","34.4","32.4","0.16","0.42","17.4","0.92","1.54","21","79","19.71","40"
"1614",="6136","富爾特","18.55","23Q2","7.23","3.18","2.52","16.6","19.5","74.9","3.16","0.27","1.97","6.12","","0.19","7.68","92.3","25.53","49"
"1615",="3040","遠見","29.8","23Q2","12.5","1.14","1.15","24.9","26.9","66.2","4.42","","0.06","10.8","","2.36","14.9","85.1","22.39","72"
"1616",="3297","杭特","16.05","23Q2","9.53","2.97","5.88","34.3","41.3","14.9","40.9","","0.34","30","","0.12","30.3","69.7","15.69","36"
"1617",="1452","宏益","16.2","23Q2","18.9","4.94","8.46","57.8","70.7","10.7","17.8","0.04","0.11","6.81","","0.01","8.54","91.5","19.82","49"
"1618",="5484","慧友","22.8","23Q2","19.3","6.98","13.5","42.8","58.2","11.2","14.9","","4.85","26.8","","0.11","27.7","72.3","9.53","45"
"1619",="6684","安格","44.5","23Q2","22.8","2.08","9.31","46.3","56.8","1.88","3.65","30.9","2.91","7.63","","0.03","11.4","88.6","42.3","45"
"1620",="6516","勤崴國際","88.5","23Q2","9.93","8.19","0.01","22","86.9","3.71","5.01","0.06","1.91","15.6","2.55","0","19.6","80.4","21.58","66"
"1621",="8435","鉅邁","60.7","23Q2","21.4","14.4","7.61","69.3","78","","17.2","0.14","0.83","21.6","","0","25.3","74.7","22.6","73"
"1622",="3287","廣寰科","25.35","23Q2","18.5","17.6","18.6","65.2","84.3","","13.7","","0.19","27.5","0.76","0.09","29","71","11.99","57"
"1623",="4554","橙的","27.75","23Q2","46.3","12.8","21.7","59.1","83.2","","3.29","0.19","10.4","35.4","","0.01","36.1","63.9","17.88","41"
"1624",="4951","精拓科","65","23Q2","44.4","5.38","6.97","67.6","75.1","1.11","11","0.26","9.98","21.4","0","1.18","22.8","77.2","22.7","77"
"1625",="5468","凱鈺","16.9","23Q2","20.7","2.08","49.4","22.8","73.4","","21.6","3.18","0.32","35.4","5.35","","42","58","8.87","30"
"1626",="8201","無敵","20.3","23Q2","39.6","25","8.02","64.6","78.4","0.8","15.8","1.1","2","24.1","","2.77","29.4","70.6","8.84","40"
"1627",="5212","凌網","44.9","23Q2","24.7","8.71","8.58","61.2","71.9","4.52","11","3.32","4.53","27.5","4.38","0.06","34","66","12.55","62"
"1628",="2033","佳大","14.35","23Q2","6.49","13.6","18.7","20.1","39.3","22.4","37.1","","0.42","17","","","18.3","81.7","12.66","34"
"1629",="3588","通嘉","54.2","23Q2","17","8.99","40.2","28.7","70.2","","27.5","0.88","0.4","12.2","","0.05","12.7","87.3","27.64","43"
"1630",="6679","鈺太","360","23Q2","5.85","14.8","21.3","57.1","80.9","15.9","1.07","0.19","1.21","4.23","","","4.77","95.2","84.88","57"
