"排名","代號","名稱","成交","漲跌價","漲跌幅","平均業外損益(%)","20Q3業外損益(%)","20Q4業外損益(%)","21Q1業外損益(%)","21Q2業外損益(%)","21Q3業外損益(%)","21Q4業外損益(%)","22Q1業外損益(%)","22Q2業外損益(%)","22Q3業外損益(%)","22Q4業外損益(%)","23Q1業外損益(%)","23Q2業外損益(%)"
"1388",="2851","中再保","23.45","+0.15","+0.64","0.02","0","0.05","0","0","0","0","0","0","0","0.16","0","0"
"1389",="2028","威致","23.65","+0.05","+0.21","0.07","0.04","0.63","-0.12","0.06","-0.23","-0.11","-0.17","0.5","0.08","-0.23","-0.37","0.73"
"1390",="8454","富邦媒","504","0","0","0.09","0.29","0.11","0.56","0.02","-0.33","0.02","-0.04","0.1","0.27","-0.17","0.08","0.15"
"1391",="6669","緯穎","1555","+5","+0.32","-0.11","-0.28","-0.09","-0.29","-0.08","-0.27","-0.19","0.13","-0.09","0.71","-0.58","-0.43","0.12"
"1392",="8403","盛弘","32.65","-0.25","-0.76","0.18","0.07","1.11","4.45","-0.62","0.57","-2.87","0.51","0.52","6.25","-8.23","0.68","-0.27"
"1393",="2313","華通","48.85","+0.05","+0.1","-0.26","-0.52","-0.81","-0.47","-0.57","0.07","0.19","1.14","-0.84","1.75","-2.05","-1.37","0.38"
"1394",="8038","長園科","41.45","+0.25","+0.61","4.18","-6.91","77","-2.23","-7.85","-17.9","-0.86","5.78","3.54","2.7","-2.33","-1.37","0.49"
"1395",="5508","永信建","72.9","-0.4","-0.55","0.01","0.01","0","0.02","0.01","-0.01","0","0","0.01","-0.02","0.06","0.03","0.01"
"1396",="8463","潤泰材","23.45","-0.25","-1.05","-1.55","0.08","-0.04","-0.46","-14.6","-0.44","-0.5","-0.63","-0.97","1.87","-0.58","-1.16","-1.14"
"1397",="2430","燦坤","39.85","-0.2","-0.5","-0.03","-0.19","-0.04","-0.1","0.01","-0.13","0.19","0.05","0.04","0.03","-0.12","-0.04","-0.04"
"1398",="2852","第一保","17.2","+0.55","+3.3","-0.02","0","-0.18","0","0","0","-0.05","0","0","0","-0.01","0","0"
"1399",="2832","台產","23.55","+0.15","+0.64","-0.03","0.01","-0.02","-0.05","-0.03","-0.08","-0.05","0.03","-0.02","0","-0.02","-0.06","-0.05"
"1400",="2404","漢唐","230","-0.5","-0.22","1.15","0.8","4.63","4.42","0.29","-0.07","1.94","0.39","-1.03","1.03","-0.36","0.63","1.14"
"1401",="2414","精技","34.25","-0.15","-0.44","-0.01","-0.03","0.01","-0.08","0","0.01","-0.02","-0.01","0.02","0.04","-0.1","-0.11","0.18"
"1402",="1338","廣華-KY","36.6","+0.5","+1.39","0.45","2.14","1.92","3.03","1.58","3.71","2.48","0.94","-1.09","1","-1.34","-3.21","-5.71"
"1403",="6103","合邦","35.05","+3","+9.36","-24.6","-33.3","-480","-6.99","-4.91","217","-3.27","-2.55","1.05","4.64","-5.77","-3.85","22.9"
"1404",="8114","振樺電","108.5","+0.5","+0.46","-1.64","-2.79","-3.48","-2.97","-4.43","-2.03","-1.68","-0.1","0.26","1.98","-2.7","-1.8","-0.01"
"1405",="4419","元勝","25","0","0","-112","-1657","-200","-9.41","591","19.9","-73.7","0.65","-2.67","-0.31","0.19","-7.29","-0.92"
"1406",="6281","全國電","84.8","-0.2","-0.24","-0.03","-0.02","-0.12","0.01","-0.05","-0.03","-0.05","-0.04","-0.01","0.05","-0.11","-0.03","0.04"
"1407",="2937","集雅社","29.8","0","0","0.02","0.03","-0.05","0.1","0.01","0.08","0.04","0","0.06","0.01","-0.12","0.07","0.02"
"1408",="6227","茂綸","41","-0.3","-0.73","-0.14","-0.01","-0.05","0.07","-0.06","-0.15","0.4","0.46","-0.25","-0.35","0.07","-0.36","-1.43"
"1409",="2493","揚博","70.5","+1","+1.44","-0.75","-4.75","-1.73","-1.03","1.32","-2.49","-1.54","1.41","-2.39","2.21","-1.04","-0.1","1.15"
"1410",="3508","位速","30.75","-0.5","-1.6","7.78","48.8","13.7","21.9","-29.1","15.8","5.4","2.77","-4.14","-5.19","7.43","13.2","2.82"
"1411",="8908","欣雄","71.9","0","0","-0.01","-0.02","0.29","-0.29","-0.22","0.44","-0.07","-0.09","-0.05","-0.03","0.04","-0.11","0.03"
"1412",="2723","美食-KY","113.5","+1","+0.89","0.04","-0.6","-1.6","0.06","3.02","0.18","-1.48","0.41","-0.05","0.22","-0.7","0.35","0.69"
"1413",="5519","隆大","22.7","+0.1","+0.44","0.27","0.01","2.86","-0.03","0.09","0.07","0.04","0.04","0.13","-0.07","-0.26","-0.17","0.48"
"1414",="6491","晶碩","366.5","-4","-1.08","-0.2","0.5","-1.07","-0.49","-0.74","0.11","-0.12","0.32","-0.16","1.21","-1.41","-0.75","0.16"
"1415",="3484","崧騰","41.15","+0.35","+0.86","0.14","-0.71","-0.94","-0.44","-0.25","-0.48","0.53","0.86","-3.15","2.14","0.03","0.1","4"
"1416",="6118","建達","28","-0.4","-1.41","0.14","0.05","0.41","0.28","0.09","0.04","0.74","0","-0.02","-0.21","0.05","0.32","-0.04"
"1417",="1727","中華化","29.6","-0.15","-0.5","0.38","0.48","2.12","1.5","-0.35","0","0.18","-0.08","0.63","-0.17","-0.58","0.05","0.74"
"1418",="4747","強生","102","+0.5","+0.49","0","0","-0.22","0.13","0.01","-0.09","-0.38","-0.31","-0.11","0.08","0.08","-0.07","0.82"
"1419",="3714","富采","45.45","-0.35","-0.76","-7.02","-1.25","-84.2","-0.22","0.91","1.72","0.05","2.03","0.75","-1.59","-2.44","-0.05","0.02"
"1420",="8932","宏大","83.3","+1.4","+1.71","-1.6","0.32","-4.5","-2.31","-3.74","-1.22","-2.11","0.17","1.58","5.43","-12.2","-1.49","0.83"
"1421",="4175","杏一","89","+0.2","+0.23","-0.48","-0.48","-0.86","0.1","-0.31","-1.96","-1.09","-0.02","-0.14","0.26","-0.38","-0.49","-0.35"
"1422",="3664","安瑞-KY","27.95","-0.05","-0.18","2.12","-0.26","-8.07","0.15","43.1","-0.39","-8.86","0.3","0.76","0.12","-0.95","0.83","-1.32"
"1423",="3709","鑫聯大投控","23.55","-0.45","-1.88","0.02","-0.12","-0.03","0.26","0.01","-0.12","0.7","0.16","-0.36","-0.18","0.01","-0.09","-0.06"
"1424",="6603","富強鑫","15.6","0","0","0.49","1.04","2.24","0.8","0.99","0.49","-0.72","0.51","0.65","-0.71","-0.89","1.24","0.2"
"1425",="2548","華固","89.8","-0.3","-0.33","-0.51","0.01","1.23","0.73","0.96","0.13","0.27","0.18","0.11","0.03","-7.6","-0.63","-1.57"
"1426",="2013","中鋼構","55.2","-0.2","-0.36","0.65","2.42","2.77","0.88","1.27","0.41","0.28","0.61","0.74","1.41","-2.81","0","-0.11"
"1427",="5258","虹堡","123.5","+3","+2.49","0.34","2.6","0.82","-1.31","0.21","-0.8","-2.08","0.97","-0.97","0.93","-1","0.99","3.73"
"1428",="4439","冠星-KY","131.5","-0.5","-0.38","-0.14","-1.06","-1.12","-0.13","0.95","-0.01","-0.58","-0.03","1.02","0.23","-3.14","0.24","1.98"
