"排名","代號","名稱","股價日期","成交","漲跌價","漲跌幅","EPS平均","EPS合計","股利平均","股利合計","2012發放年度","2013發放年度","2014發放年度","2015發放年度","2016發放年度","2017發放年度","2018發放年度","2019發放年度","2020發放年度","2021發放年度","2022發放年度","2023發放年度"
"477",="2409","友達","12/25","17.15","+0.15","+0.88","-0.23","-2.72","0.47","5.66","0","0","0.15","0.5","0.35","0.56","1.5","0.5","0","0.3","1","0.8"
"478","2887E","台新戊特","12/25","51","+0.1","+0.2","","","2.04","14.28","","","","","","0.03","2.38","2.38","2.38","2.38","2.38","2.38"
"479",="5013","強新","12/25","34.4","+0.1","+0.29","2.13","25.57","0.67","8.1","0.5","0","0.6","0.2","0.6","0.3","0.8","0.5","0.5","0.5","2","1.6"
"480",="3380","明泰","12/25","36.35","-0.25","-0.68","0.99","11.88","1.04","12.52","1.34","1.15","1.36","1.2","0.5","1.04","1","1","0.44","1","0.8","1.69"
"481",="1338","廣華-KY","12/25","43.05","-0.35","-0.81","5.92","65.1","3.14","37.7","1.5","1.5","2.5","3.7","4.5","4","5","3.5","3.5","3.5","2.5","2"
"482",="3031","佰鴻","12/25","18.3","-0.1","-0.54","0.57","6.87","0.63","7.56","1","0","0.35","0.5","0.07","0.8","0.85","0.52","0.82","0.8","1","0.85"
"483",="4767","誠泰科技","12/25","28","-0.45","-1.58","1.97","13.77","1.31","9.2","","","","","","1.5","1.5","1.2","1","1.2","1.5","1.3"
"484","00711B","復華彭博新興債","12/25","16.37","-0.06","-0.37","","","0.71","5","","","","","","0.08","0.94","0.85","0.91","0.72","0.73","0.76"
"485","00719B","元大美債1-3","12/25","30.94","-0.03","-0.1","","","0.6","2.98","","","","","","","","0.46","0.19","0.1","0.8","1.43"
"486",="3628","盈正","12/25","43.3","0","0","2.66","31.94","2.46","29.5","5","2.5","2.5","4","3.25","3","2.5","1.5","1","1","1.25","2"
"487",="4540","全球傳動","12/25","32.15","-0.2","-0.62","1.81","18.07","0.83","9.18","","0","0","0.5","0","0.3","1.2","3.6","0","0.8","1.3","1.48"
"488",="4938","和碩","12/25","86.8","+1","+1.17","5.7","68.42","3.65","43.74","0","1.48","2.77","4.04","5.03","4.93","4","3.5","4.5","4.49","5","4"
"489",="1725","元禎","12/25","21.7","-0.1","-0.46","0.97","11.68","0.69","8.22","0","0","0.35","0.62","0.78","0.8","0.83","0.84","0.81","0.96","1.23","1"
"490",="6263","普萊德","12/25","139","-4","-2.8","4.27","51.18","3.78","45.3","1.4","2.1","2.6","3.3","3.8","3.9","4.3","4.3","4.5","4","4.7","6.4"
"491","00725B","國泰投資級公司債","12/25","38.02","-0.2","-0.52","","","1.52","9.13","","","","","","","0.74","1.62","1.77","1.58","1.67","1.75"
"492",="6207","雷科","12/25","32.6","0","0","2.09","25.11","1.47","17.66","0.75","0.35","0.7","1.86","2.5","1.5","1.8","2.5","1.2","1.5","1.5","1.5"
"493","00856B","永豐1-3年美公債","12/25","37.47","-0.1","-0.27","","","0.89","3.58","","","","","","","","","0.49","0.42","0.95","1.72"
"494",="6425","易發","12/25","21.75","+0.05","+0.23","1.16","12.72","1.73","19.07","","3","3","1.99","2.98","0.49","2.1","3","0.51","0.5","0.5","1"
"495",="6662","樂斯科","12/25","32.65","+0.1","+0.31","2.12","12.73","1.78","10.65","","","","","","","1.8","1.85","1.9","2","1.6","1.5"
"496",="6855","數泓科","12/25","98","+1.4","+1.45","5.67","17.02","3.5","10.5","","","","","","","","","","2","4","4.5"
"497",="6667","信紘科","12/25","92.5","+1.5","+1.65","3.17","22.18","2.59","18.15","","","","","","1.53","3","2.8","1.99","1.66","2.94","4.24"
"498",="1303","南亞","12/25","65.5","+0.4","+0.61","4.61","55.32","3.3","39.6","2.1","0.3","1.9","2.3","3.3","4.5","5.1","5","2.2","2.4","7.5","3"
"499","00793B","群益AAA-A醫療債","12/25","33.28","-0.31","-0.92","","","1.48","7.4","","","","","","","","1.08","1.39","1.89","1.52","1.52"
"500",="2613","中櫃","12/25","22.95","-0.65","-2.75","0.81","9.72","0.34","4.12","0","0","0.15","0.18","0.04","0.07","0.33","0.28","0.17","0.2","1.65","1.05"
"501",="2392","正崴","12/25","48.1","-0.1","-0.21","3.16","37.96","2.14","25.69","2.5","2.5","3","2","2","1.5","2","1.5","2.5","2.5","1.5","2.2"
"502",="8103","瀚荃","12/25","43.75","-1.25","-2.78","3.34","40.08","1.78","21.38","3.25","2.87","1.79","2.93","0.3","1.8","1","1","1.03","1.4","2","2"
